,Node,count,closeness,betweenness
44,buy,19517,0.44122536945812807,0.0033313585559007273
45,download,19302,0.440290024271099,0.0033139603607739154
46,kid,19029,0.4454079254079254,0.00469114053810032
47,know,18945,0.44467543750775723,0.005638029509626937
48,awesome,17801,0.4426837179130757,0.003597783532024153
49,money,17373,0.44226021478829775,0.0036219867452720223
50,day,17298,0.44121178535143624,0.003966445381930987
51,log,17071,0.44504829042576316,0.0018783769288766297
52,nice,16657,0.44243771417986477,0.0035025139988312955
53,adopt,16475,0.44183752119623865,0.003072980190231061
54,take,16420,0.4428205048975682,0.0035436228067221155
55,mobile,15688,0.443780385842133,0.003060616191521701
56,stuff,15492,0.442847872439047,0.0034591107230213603
57,different,15304,0.44068265682656826,0.0027127612471391765
58,use,15276,0.4424240553223018,0.004605756504074956
59,way,15243,0.4426837179130757,0.004249733906351084
60,screen,14490,0.44371168493405166,0.002079126992232854
61,laggy,14444,0.43902214869956807,0.0019618131544382254
62,see,14195,0.44412420974339906,0.004628889609958584
63,favorite,14049,0.44216469717071366,0.003071666811904903
64,online,13864,0.441442828979793,0.002529902177568617
65,change,13352,0.4406691061160481,0.002638195479354604
66,hope,13290,0.43778829998472585,0.0027767776409969042
67,add,13048,0.4423830838092298,0.0038135760422243195
68,rate,12724,0.441810278385794,0.0024369460837754416
69,hate,12610,0.44043887147335425,0.002378339427552327
70,player,12560,0.44211013419713097,0.0035685521029421127
71,join,12228,0.44257434915536886,0.001966420090566757
72,reason,12093,0.4385921958684009,0.0022504042070607437
73,like,11330,0.44038473357507224,0.002376789849711128
74,create,11015,0.441892016897413,0.002175569210050421
75,avatar,10907,0.4407097607478935,0.0017839284357660421
76,delete,10849,0.4435194355038376,0.0021287434879681236
77,annoying,10840,0.4399115940694355,0.0017649087022166524
78,stop,10818,0.43973611537281376,0.002287321540496112
79,super,10634,0.44211013419713097,0.0019485511811295855
80,wish,10597,0.44241039730806037,0.002205346791730936
81,kick,10498,0.44224656688782593,0.0012588504379295895
82,put,10485,0.44488250085369263,0.0027544380445033447
83,experience,10436,0.44103526804948606,0.002581825320275125
84,overall,10375,0.4441379737812626,0.002164926746574264
85,little,10040,0.4442481168046127,0.0028164253274975265
86,help,9980,0.44125254018104565,0.0024489269275890673
87,old,9775,0.4405065625672394,0.0026826957960317723
88,enjoy,9760,0.4394664213431463,0.0020407938952749826
89,internet,9686,0.4407639785938365,0.001272882802954678
90,start,9505,0.4408182097816057,0.0022441305828971034
91,world,9368,0.4465738057399271,0.0026774742500625844
92,password,9235,0.4473125663274861,0.0010983821121020804
93,ban,9194,0.4450621118012422,0.0021292646346122283
94,word,9095,0.4448410727588776,0.002376111271640508
95,hacker,9027,0.44310803289839834,0.0015893564061824068
96,find,8956,0.44004667301255873,0.002719489289234486
97,hack,8689,0.4447858472998138,0.0014534336196928297
98,happen,8529,0.441810278385794,0.0016414620050609306
99,high,8527,0.4414156348179634,0.0018696437133172725
100,move,8517,0.4474103212512878,0.0014231254354355155
101,issue,8253,0.44211013419713097,0.0018396736731703467
102,playing,8236,0.440033161385409,0.001676838107668072
103,cause,8167,0.44100812407680945,0.0016958621334623566
104,life,8049,0.4449239366656318,0.0024556431616716296
105,load,8043,0.4428752433635156,0.0014449705595652165
106,look,7988,0.44420680676957414,0.00277075804511325
107,mean,7982,0.4395877427072789,0.002187094201585368
108,pay,7939,0.4425880172946263,0.0016010109132000463
109,type,7900,0.44320395855883715,0.001949741329284142
110,family,7877,0.4465320620676762,0.0014237748203236333
111,hard,7867,0.4436155393901873,0.002013493690581108
112,real,7846,0.44308063319317337,0.0019237426266026857
113,come,7697,0.4435606177845182,0.0025954067579825302
114,wifi,7655,0.44601786436774454,0.0011540631598318286
