,Node,count,closeness,betweenness
0,game,24995,0.5104055087987758,0.04825645442147537
1,please,9778,0.47656808115445065,0.019259972046176667
2,get,9160,0.47711343155485625,0.021260190390127783
3,love,8424,0.47396092362344583,0.01705617437556561
4,play,8412,0.4745340731256224,0.01775954039724519
5,good,8078,0.476976976976977,0.01989546741481314
6,make,7532,0.4773865750679834,0.020701198281918534
7,zepeto,7524,0.4791008330939385,0.019802370863752028
8,fix,6523,0.46640564916451094,0.010699035055652471
9,zem,5790,0.4694250932376328,0.0071786519661785645
10,download,5145,0.4664708761625061,0.010465887198258902
11,say,4660,0.4692930003517411,0.01070834711401007
12,give,4612,0.4656893542757417,0.008958886178548182
13,try,4530,0.46630784286313437,0.008910579274705718
14,fun,4428,0.46390820584144643,0.009329333583704138
15,friend,4133,0.4657218654007261,0.00854342913773042
16,time,4120,0.4678120617110799,0.010401842784301212
17,problem,3966,0.4625251334673785,0.005863856577678661
18,star,3784,0.4642633447003967,0.006598995631414087
19,want,3682,0.46777925811654164,0.010598798470946118
20,update,3186,0.4713155291790307,0.00729148285785597
21,phone,3049,0.4676153091265947,0.006888258037438962
22,thing,3003,0.4678120617110799,0.009022121706092682
23,people,2945,0.4666993143976494,0.00852197642481595
24,much,2939,0.4612778315585673,0.00618322232916588
25,work,2935,0.4643279738289135,0.0060827118746902414
26,world,2905,0.4694250932376328,0.006221264543147575
27,take,2899,0.46032293679271324,0.005647872011136506
28,lot,2772,0.46054539178460474,0.005131712322059929
29,hear,2768,0.4717154575024749,0.005063567912981323
30,new,2767,0.4624930671103716,0.00611441118432424
31,use,2692,0.462910276871834,0.008236199109380123
32,great,2543,0.4636502641089797,0.00572497750338091
33,lag,2474,0.4670587411608206,0.0039126565835536364
34,know,2419,0.4697556510104922,0.007578195238021085
35,see,2359,0.46607978760567315,0.008184985097289819
36,character,2354,0.45713698348523263,0.005594074997813774
37,many,2340,0.462910276871834,0.005531685850075656
38,keep,2325,0.4697887323943662,0.0068075700489777
39,open,2306,0.4658519553072626,0.00371152883411065
40,nice,2257,0.4647485021596767,0.0047845182850297435
41,bad,2201,0.46342480027787425,0.004922617633352195
42,amazing,2113,0.46866657299423914,0.004511640330676049
43,account,2072,0.4620126047510215,0.003278372145615697
44,delete,2049,0.46630784286313437,0.004334470861739454
